date_data,title,date_time
11:14AM,"Buy Now, Pay Later Is Surfing the Private Credit Wave",2023-11-09 11:14:00
10:25AM,These 2 Stocks Are on the Comeback Trail,2023-11-09 10:25:00
09:20AM,Q1 2024 Affirm Holdings Inc Earnings Call,2023-11-09 09:20:00
08:47AM,"Midday movers: Walt Disney, Lyft, Tesla and more",2023-11-09 08:47:00
08:35AM,Affirm Stock Pops 14% After Earnings Topped Expectations,2023-11-09 08:35:00
Nov-08-23 09:30PM,Affirm (AFRM) Q1 2024 Earnings Call Transcript,2023-11-08 21:30:00
07:30PM,"Compared to Estimates, Affirm Holdings (AFRM) Q1 Earnings: A Look at Key Metrics",2023-11-08 19:30:00
05:33PM,Affirm Stock Pops After Earnings Topped Expectations,2023-11-08 17:33:00
05:29PM,Affirm Holdings: Fiscal Q1 Earnings Snapshot,2023-11-08 17:29:00
04:24PM,Affirms Earnings Top Expectations. The Stock is Popping.,2023-11-08 16:24:00
04:05PM,Affirm Reports First Fiscal Quarter 2024 Results,2023-11-08 16:05:00
01:01PM,Affirms Earnings Arent Just About Meeting Expections. Heres What Wall Street Wants to See.,2023-11-08 13:01:00
09:56AM,Here's How We'd Play Affirm Ahead of Earnings,2023-11-08 09:56:00
08:17AM,Are the Bears Right About Affirm Stock?,2023-11-08 08:17:00
Nov-06-23 10:23AM,Insights Into Affirm Holdings (AFRM) Q1: Wall Street Projections for Key Metrics,2023-11-06 10:23:00
Nov-03-23 05:30PM,"Berkshire Hathaway, Disney, Fed: What to watch next week",2023-11-03 17:30:00
Nov-02-23 04:18PM,Affirm Shares Soar 19% On BNPL Offering For Amazon Business,2023-11-02 16:18:00
10:54AM,Affirm shares jump on expanded partnership with Amazon,2023-11-02 10:54:00
10:46AM,"Shopify, Affirm, Crocs: Morning Movers",2023-11-02 10:46:00
09:00AM,"Amazon Business Adds Affirm as First Buy Now, Pay Later Provider at Checkout",2023-11-02 09:00:00
Nov-01-23 03:00PM,Fintech Stocks Mixed After Fed's Interest-Rate Announcement,2023-11-01 15:00:00
10:43AM,7 Dangerous Stocks to Avoid No Matter What,2023-11-01 10:43:00
09:00AM,Interest-Free Promotions Outshine Discounts and Sales This Holiday Season,2023-11-01 09:00:00
Oct-30-23 06:15PM,Here's Why Affirm Holdings (AFRM) Gained But Lagged the Market Today,2023-10-30 18:15:00
04:05PM,Affirm to Participate in Upcoming Investor Conferences,2023-10-30 16:05:00
Oct-28-23 05:15AM,Is Affirm Holdings Stock a Buy?,2023-10-28 05:15:00
Oct-26-23 11:14AM,"PayPal, Square Stocks Face a Moment of Reckoning After Worldline Panic",2023-10-26 11:14:00
08:15AM,"Shares of Affirm, Block, and PayPal Drop as Worldline Warns About Consumer Spending",2023-10-26 08:15:00
Oct-25-23 02:20PM,The European Fintech Collapse Spreads to the U.S.,2023-10-25 14:20:00
09:40AM,Is Affirm (AFRM) Outperforming Other Business Services Stocks This Year?,2023-10-25 09:40:00
02:24AM,Alphabet hammered: 6 big analyst cuts,2023-10-25 02:24:00
Oct-24-23 04:05PM,"Affirm to Host Investor Forum on November 14, 2023",2023-10-24 16:05:00
Oct-18-23 04:05PM,"Affirm to Announce First Quarter Fiscal Year 2024 Results on November 8, 2023",2023-10-18 16:05:00
Oct-09-23 09:40AM,Are Business Services Stocks Lagging  Affirm (AFRM) This Year?,2023-10-09 09:40:00
Oct-03-23 05:06AM,3 Top Fintech Stocks to Buy in October,2023-10-03 05:06:00
Sep-29-23 02:30AM,CEO Max Levchin: How Affirm Is Responding to Higher Interest Rates,2023-09-29 02:30:00
Sep-27-23 11:57AM,Ticking Time Bombs: 3 Fintech Stocks to Dump Before the Damage Is Done,2023-09-27 11:57:00
11:07AM,Affirm (AFRM) & Weave Team Up to Expand Payment Options,2023-09-27 11:07:00
Sep-26-23 05:40PM,Affirm retooled its business to operate under interest rates: CFO,2023-09-26 17:40:00
09:00AM,Weave Partners with Affirm to Expand Payment Options for Patients,2023-09-26 09:00:00
Sep-22-23 06:49PM,Higher for Longer Interest Rates Threaten Fintech,2023-09-22 18:49:00
Sep-18-23 04:05PM,"Affirm to Webcast CFO Fireside Chat on September 28, 2023",2023-09-18 16:05:00
Sep-11-23 11:28AM,Affirm (AFRM) & Booking.com Team Up to Boost Payments Options,2023-09-11 11:28:00
Sep-08-23 01:37PM,Affirm (AFRM) & ATERNAL to Offer BNPL Solutions to Art Buyers,2023-09-08 13:37:00
Sep-07-23 05:54PM,"Travel now, pay later: Affirm rolls out new offerings for users",2023-09-07 17:54:00
09:00AM,Affirm Partners With Booking.com to Offer Travelers Increased Flexible Payment Options,2023-09-07 09:00:00
Sep-06-23 05:58AM,This Fintech's Solid Quarter and Rosy Outlook Surprised Analysts. Is It a Buy?,2023-09-06 05:58:00
05:11AM,3 Growth Stocks to Sell in September Before They Crash & Burn,2023-09-06 05:11:00
Sep-05-23 05:35PM,"Klarna CEO talks state of consumer in buy now, pay later landscape",2023-09-05 17:35:00
11:30AM,3 Stocks to Avoid This Week,2023-09-05 11:30:00
Sep-01-23 10:50AM,Student Loan Payments Are Back. Your Biggest Questions Answered.,2023-09-01 10:50:00
Aug-31-23 06:13PM,Fall Clean-Up: 7 Stocks to Let Go Before Autumn Begins,2023-08-31 18:13:00
Aug-28-23 09:38AM,"Company News for Aug 28, 2023",2023-08-28 09:38:00
07:30AM,3 Stocks to Avoid This Week,2023-08-28 07:30:00
Aug-27-23 07:10AM,2 Big Red Flags for Affirm Stock,2023-08-27 07:10:00
Aug-26-23 09:25AM,Is Affirm Holdings Stock a Buy Now?,2023-08-26 09:25:00
Aug-25-23 04:28PM,"These Stocks Moved the Most Today: Affirm, Marvell, Domo, Hawaiian Electric, AMC, Nordstrom, and More",2023-08-25 16:28:00
03:20PM,"Affirm Soars After 'Buy Now, Pay Later' Provider's  Interest Rate Turnabout",2023-08-25 15:20:00
03:19PM,Affirm Shares Soar on Higher-Than-Expected Forecast as Delinquencies Decline,2023-08-25 15:19:00
01:51PM,"These Stocks Are Moving the Most Today: Affirm, Marvell, Domo, Hawaiian Electric, AMC, Nordstrom, and More",2023-08-25 13:51:00
01:08PM,Affirm Surges After New Merchant Deals Fuel Transactions,2023-08-25 13:08:00
12:31PM,"Affirm is 'best positioned to harness' change in consumers, CFO says",2023-08-25 12:31:00
11:00AM,"Affirm Is Soaring Today -- Is the Buy Now, Pay Later Business Doing Well?",2023-08-25 11:00:00
10:12AM,Affirm Stock Soars After Shrugging Off Consumer Fears. Why Analysts Are Split.,2023-08-25 10:12:00
09:28AM,These 2 Nasdaq Stocks Are Giving Investors a Happy Friday,2023-08-25 09:28:00
